,Descricao,Preco
49,"Smartphone Multilaser E Lite P9127 3G Dourado 32GB Tela 4.0"" Câmera 5MP Android 8.1","R$ 379,00"
50,"Smartphone Samsung Galaxy A12 Branco 64GB, Tela Infinita de 6.5"", Câmera Quádrupla, Bateria 5000mAh, 4GB RAM e Processador Octa-Core","R$ 1.349,00"
51,"Smartphone Samsung Galaxy M21s 64GB, 4GB RAM, Tela Infinita de 6.4”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core - Preto","R$ 1.399,00"
52,"Smartphone Motorola Moto E7 Plus Azul Navy 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 1.079,00"
53,"Smartphone Motorola One Fusion Verde Esmeralda 128GB, Tela de 6.5”, 4GB RAM, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm 710","R$ 1.629,00"
54,"Smartphone Samsung Galaxy S20 FE Cloud Navy 128GB, 6GB RAM, Tela Infinita de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 2.799,00"
55,"Smartphone Motorola Moto G9 Plus Azul Índigo 128GB, 4GB RAM, Tela de 6.8”, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.799,00"
56,"Smartphone Motorola Moto G9 Power Purple 128GB, 4GB RAM, Tela de 6.8”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 1.499,00"
57,"Smartphone LG K41S Preto 32GB, RAM de 3GB, Tela de 6,55"" V- Notch HD+ 20:9, Inteligência Artificial, Câmera Quádrupla e Processador Octa-Core 2.0","R$ 887,78"
58,"Smartphone Samsung Galaxy A10s Azul Absurdo 32GB, Tela Infinita de 6.2"", Câmera Dupla, Bateria 4000mAh, 2GB RAM e Processador Octa-Core","R$ 999,00"
59,"Smartphone Samsung Galaxy A31 Preto 128GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital na Tela e Android 10.0","R$ 1.699,00"
60,"Smartphone Motorola One Fusion Azul Safira 128GB, Tela de 6.5”, 4GB RAM, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm 710","R$ 1.499,00"
61,Smartphone E lite 32gb dourado tela 4.0 pol. 3g quad core camera traseira 5mp + 5mp frontal - p9127 - Multilaser,"R$ 503,43"
62,"Smartphone Xiaomi Redmi Note 9 Verde 128GB, Tela de 6,53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.499,00"
63,"Smartphone Samsung Galaxy M31 Azul 128GB, 6GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital, Octa Core e Android 10.0","R$ 1.749,00"
64,"Smartphone Motorola Moto G100 Luminous Sky 256GB, 12GB RAM, Tela de 6.7”, 5G, Câmera Quádrupla, Android 11 e Processador Qualcomm 870 Octa-Core","R$ 3.499,00"
65,"Smartphone Samsung Galaxy A10s Vermelho Absurdo 32GB, Tela Infinita de 6.2"", Câmera Dupla, Bateria 4000mAh, 2GB RAM e Processador Octa-Core","R$ 999,00"
66,"Smartphone Xiaomi Redmi Note 9 Cinza 128GB, Tela de 6,53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.499,00"
67,"Smartphone LG K52 Cinza 64GB, Tela de 6.6”, Câmera Traseira Quádrupla, Android 10, Inteligência Artificial e Processador Octa-Core","R$ 999,00"
68,"Smartphone Samsung Galaxy A31 Azul 128GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital na Tela e Android 10.0","R$ 1.699,00"
69,"Smartphone Samsung Galaxy A01 Azul 32GB, Tela Infinita de 5.7"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Octa-Core","R$ 699,00"
