,Descricao,Preco
56,Smartphone Samsung Galaxy A10s Azul Absurdo 32GB Tela Infinita de 62 Câmera Dupla Bateria 4000mAh 2GB RAM e Processador OctaCore,949.0
57,Smartphone Samsung Galaxy A10s Vermelho Absurdo 32GB Tela Infinita de 62 Câmera Dupla Bateria 4000mAh 2GB RAM e Processador OctaCore,949.0
58,Smartphone Motorola Moto G100 Luminous Sky 256GB 12GB RAM Tela de 67” 5G Câmera Quádrupla Android 11 e Processador Qualcomm 870 OctaCore,3699.0
59,Smartphone Motorola Moto G9 Power Purple 128GB 4GB RAM Tela de 68” Câmera Traseira Tripla Android 10 e Processador OctaCore,1599.0
60,Smartphone Motorola Moto G100 Luminous Sky 256GB 12GB RAM Tela de 67” 5G Câmera Quádrupla Android 11 e Processador Qualcomm 870 OctaCore,3699.0
61,Smartphone Motorola Moto G9 Power Purple 128GB 4GB RAM Tela de 68” Câmera Traseira Tripla Android 10 e Processador OctaCore,1599.0
62,Smartphone Motorola One Fusion Azul Safira 128GB Tela de 65” 4GB RAM Câmera Traseira Quádrupla Android 10 e Processador Qualcomm 710,1599.0
63,Smartphone Motorola One Fusion Verde Esmeralda 128GB Tela de 65” 4GB RAM Câmera Traseira Quádrupla Android 10 e Processador Qualcomm 710,1580.0
64,Smartphone Motorola Moto G8 Power Azul Atlântico 64GB Tela de 64” FHD Câmera Traseira Quádrupla Android 10 e Processador Qualcomm OctaCore,1199.0
65,Smartphone Xiaomi Redmi Note 9 Verde 128GB Tela de 653 4GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1399.0
66,Smartphone Samsung Galaxy A02s Preto 32GB Tela Infinita de 65 Câmera Tripla bateria 5000mAh 3GB RAM e Processador OctaCore,849.0
67,Smartphone Motorola Moto G8 Power Lite Azul Navy 64GB 4 GB RAM Tela de 65” HD Câmera Traseira Tripla Android 9 e Processador OctaCore,1099.0
68,Smartphone Samsung Galaxy S20 FE Cloud Orange 128GB 6GB RAM Tela Infinita de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,2399.0
69,Smartphone LG K22 Titan 32GB Tela de 62” Câmera Traseira Dupla Android 10 Inteligência Artificial e Processador QuadCore,699.0
70,Smartphone Motorola Moto G9 Plus Ouro Rosê 128GB 4GB RAM Tela de 68” Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1829.0
71,Smartphone Samsung Galaxy A12 Vermelho 64GB Tela Infinita de 65 Câmera Quádrupla Bateria 5000mAh 4GB RAM e Processador OctaCore,1349.0
72,Smartphone LG K41S Preto 32GB RAM de 3GB Tela de 655 V Notch HD 209 Inteligência Artificial Câmera Quádrupla e Processador OctaCore 20,949.0
73,Smartphone Samsung Galaxy A01 Azul 32GB Tela Infinita de 57 Câmera Traseira Dupla Android 100 Dual Chip e Processador OctaCore,719.0
74,Smartphone Samsung Galaxy M21s 64GB 4GB RAM Tela Infinita de 64” Câmera Traseira Tripla Android 10 e Processador OctaCore  Azul,1369.0
75,Smartphone Samsung Galaxy A02s Vermelho 32GB Tela Infinita de 65 Câmera Tripla bateria 5000mAh 3GB RAM e Processador OctaCore,849.0
76,Smartphone Samsung Galaxy S20 FE Cloud Mint 128GB 6GB RAM Tela Infinita de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,2799.0
77,Smartphone Samsung Galaxy A31 Preto 128GB 4GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Leitor Digital na Tela e Android 100,1699.0
78,Smartphone Samsung Galaxy M31 Azul 128GB 6GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Leitor Digital Octa Core e Android 100,1749.0
79,Smartphone LG K22 Titan 64GB Tela de 62” Câmera Traseira Dupla Android 10 Inteligência Artificial e Processador QuadCore,779.0
80,Smartphone Samsung Galaxy A72 Azul 128GB 6GB de RAM Tela Infinita 67 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,2379.0
81,Smartphone Samsung Galaxy M31 Preto 128GB 6GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Leitor Digital Octa Core e Android 100,1749.0
82,Smartphone Samsung Galaxy A01 Core Vermelho 32GB Tela Infinita de 53” Câmera Traseira 8MP Android GO 100 Dual Chip e Processador QuadCore,699.0
83,Smartphone LG K51S Titânio 64GB RAM de 3GB Tela de 655 HD 209 Inteligência Artificial Câmera Quádrupla e Processador OctaCore 23,1069.0
84,Smartphone Samsung Galaxy A21s Preto 64GB Câmera QuádruplaTela Infinita de 65 Leitor de Digital 4GB RAM Carregamento Rápido e Android 10,1419.0
85,Smartphone Xiaomi Redmi 9C Azul 64GB Tela de 653 3GB de RAM Câmera Traseira Tripla Android 10 e Processador OctaCore,1319.0
86,Smartphone Xiaomi Redmi 9C Azul 32GB Tela de 653 2GB de RAM Câmera Traseira Tripla Android 10 e Processador OctaCore,959.0
87,Smartphone LG K61 Titânio 128GB RAM de 4GB Tela de 655 HD 1959 Inteligência Artificial Câmera Quádrupla e Processador OctaCore 23,1309.0
